Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra Óptica,Otros,Satelital,Wimax,Wireless,Total General
Buenos Aires,25 de Mayo,25 de Mayo,874,454,0,3,0,852,0,706,2889
Buenos Aires,25 de Mayo,del Valle,181,0,0,0,10,1,0,0,192
Buenos Aires,25 de Mayo,Gobernador Ugarte,0,0,0,0,0,0,0,181,181
Buenos Aires,25 de Mayo,Norberto de La Riestra,0,782,0,6,167,0,0,327,1282
Buenos Aires,25 de Mayo,Lucas Monteverde,0,0,0,0,0,0,0,6,6
Buenos Aires,25 de Mayo,Ernestina,66,0,0,0,0,0,0,0,66
Buenos Aires,25 de Mayo,Pedernales,568,0,0,0,0,0,0,7,575
Buenos Aires,9 de Julio,12 de Octubre,0,0,0,0,0,0,0,19,19
Buenos Aires,9 de Julio,9 de Julio,431,335,82,623,83,1,0,831,2386
Buenos Aires,9 de Julio,Alfredo Demarchi (est. Facundo Quiroga),450,0,0,0,60,0,0,0,510
Buenos Aires,9 de Julio,Dudignac,0,0,1,0,0,0,0,463,464
Buenos Aires,9 de Julio,Manuel B. Gonnet (est. French),199,0,0,2,2,0,0,0,203
Buenos Aires,9 de Julio,Villa General Fournier (est. 9 de Julio Sud),0,0,0,118,0,0,0,42,160
Buenos Aires,9 de Julio,Patricios,81,0,0,0,0,0,0,0,81
Buenos Aires,Adolfo Alsina,Carhué,780,0,1,142,1,0,0,283,1207
Buenos Aires,Adolfo Alsina,Maza,0,0,0,390,0,2,0,14,406
Buenos Aires,Adolfo Alsina,Rivera,0,0,0,12,0,0,0,0,12
Buenos Aires,Adolfo Alsina,Colonia San Miguel Arcángel,0,0,0,208,0,0,0,0,208
Buenos Aires,Adolfo Alsina,Esteban Agustín Gascón,0,0,0,60,0,0,0,0,60
Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves (est. Chaves),549,0,2,943,0,0,0,313,1807
Buenos Aires,Adolfo Gonzales Chaves,de La Garma,0,0,0,654,6,0,0,57,717
Buenos Aires,Adolfo Gonzales Chaves,Juan E. Barra,0,0,0,0,0,0,0,46,46
Buenos Aires,Adolfo Gonzales Chaves,Vásquez,0,0,0,0,0,0,0,14,14
Buenos Aires,Alberti,Alberti (est. Andrés Vaccarezza),457,0,6,1,0,0,0,8,472
Buenos Aires,Alberti,Mechita,285,0,0,0,0,0,0,0,285
Buenos Aires,Almirante Brown,Adrogué,214,93,59,1144,2,1,0,26,1539
Buenos Aires,Almirante Brown,Burzaco,142,1663,35,1133,40,2,0,310,3325
Buenos Aires,Almirante Brown,Claypole,5,765,3,414,13,0,0,2,1202
Buenos Aires,Almirante Brown,Don Orione,0,541,0,0,0,0,0,1,542
Buenos Aires,Almirante Brown,Glew,55,823,10,1165,12,0,0,54,2119
Buenos Aires,Almirante Brown,Jose Mármol,0,743,1,141,2,0,0,1,888
Buenos Aires,Almirante Brown,Longchamps,30,966,20,1474,24,0,0,1,2515
Buenos Aires,Almirante Brown,Malvinas Argentinas,2,542,3,44,2,0,0,1,594
Buenos Aires,Almirante Brown,Ministro Rivadavia,3,347,4,407,4,0,0,1,766
Buenos Aires,Almirante Brown,Rafael Calzada,37,1055,15,993,193,0,0,340,2633
Buenos Aires,Almirante Brown,San Francisco Solano,26,43,4,325,131,0,0,2,531
Buenos Aires,Almirante Brown,San Jose,3,938,2,167,0,3,0,1,1114
Buenos Aires,Arrecifes,Arrecifes,906,115,12,439,60,1,0,188,1721
Buenos Aires,Arrecifes,Todd,0,0,0,304,0,0,0,0,304
Buenos Aires,Arrecifes,Viña,50,60,0,0,0,0,0,0,110
Buenos Aires,Avellaneda,Avellaneda,149,866,48,59,68,5,0,80,1275
Buenos Aires,Avellaneda,Crucesita,1,489,0,283,2,0,0,0,775
Buenos Aires,Avellaneda,Dock Sud,11,675,0,242,12,0,0,26,966
Buenos Aires,Avellaneda,Gerli,3,597,0,453,0,0,0,0,1053
Buenos Aires,Avellaneda,Pineyro,9,595,1,24,0,0,0,0,629
Buenos Aires,Avellaneda,Sarandí,194,997,67,119,4,3,0,1,1385
Buenos Aires,Avellaneda,Villa Domínico,16,881,2,711,11,0,0,626,2247
Buenos Aires,Avellaneda,Wilde,205,1246,66,1334,8,0,0,87,2946
Buenos Aires,Ayacucho,Ayacucho,205,0,2,0,0,0,0,139,346
Buenos Aires,Ayacucho,La Constancia,0,0,0,0,0,0,0,10,10
Buenos Aires,Ayacucho,Solanet,0,0,0,0,0,0,0,27,27
Buenos Aires,Ayacucho,Udaquiola,0,0,0,0,0,1,0,46,47
Buenos Aires,Azul,Azul,242,1392,51,56,65,2,0,115,1923
Buenos Aires,Azul,Cacharí,0,0,2,0,0,0,0,521,523
Buenos Aires,Azul,Chillar,0,0,0,0,0,1,0,565,566
Buenos Aires,Bahía Blanca,Bahía Blanca,469,10321,402,997,493,14,0,276,12972
Buenos Aires,Bahía Blanca,Cabildo,0,193,4,6,5,0,0,153,361
Buenos Aires,Bahía Blanca,General Daniel Cerri (est. General Cerri),373,149,1,0,0,0,0,15,538
Buenos Aires,Bahía Blanca,Ingeniero White,0,0,0,1,0,8,0,0,9
Buenos Aires,Balcarce,Balcarce,15,1109,38,37,47,0,0,883,2129
Buenos Aires,Balcarce,Los Pinos,0,0,0,0,9,0,0,30,39
Buenos Aires,Balcarce,Napaleofú,0,0,0,15,0,0,0,50,65
Buenos Aires,Balcarce,Ramos Otero,0,0,0,0,0,0,0,8,8
Buenos Aires,Balcarce,San Agustín,0,0,0,0,3,0,0,72,75
Buenos Aires,Balcarce,Villa Laguna La Brava,0,0,0,0,0,0,0,42,42
Buenos Aires,Baradero,Baradero,173,69,0,3,0,1,0,809,1055
Buenos Aires,Baradero,Villa Alsina (est. Alsina),120,0,0,0,0,0,0,150,270
Buenos Aires,Baradero,Irineo Portela,0,0,0,1,0,1,0,76,78
Buenos Aires,Baradero,Santa Coloma,0,0,0,0,0,0,0,53,53
Buenos Aires,Benito Juárez,Barker,0,0,1,10,0,3,0,70,84
Buenos Aires,Benito Juárez,Benito Juárez (est. Juárez),782,0,20,563,4,1,0,147,1517
Buenos Aires,Benito Juárez,López,0,0,0,4,0,0,0,12,16
