Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2022,4,Buenos Aires,326,3,1,130,72,532
2022,4,CABA,139,1,139,5,32,316
2022,4,Córdoba,152,457,367,62,11,1049
2022,4,Entre Ríos,56,136,41,26,13,272
2022,4,Mendoza,38,78,147,28,2,293
2022,4,Salta,37,97,53,12,7,206
2022,4,Santa Fe,164,412,249,44,19,888
2022,4,Tucumán,69,21,169,4,527,790
2022,3,Buenos Aires,340,3,1,127,70,541
2022,3,CABA,141,1,129,6,32,309
2022,3,Córdoba,164,465,339,61,10,1039
2022,3,Entre Ríos,60,133,37,26,13,269
2022,3,Mendoza,38,79,143,28,3,291
2022,3,Salta,40,97,50,10,7,204
2022,3,Santa Fe,184,426,215,43,20,888
2022,3,Tucumán,78,19,162,4,519,782
2022,2,Buenos Aires,351,3,1,127,71,553
2022,2,CABA,145,1,122,6,32,306
2022,2,Córdoba,179,468,309,61,10,1027
2022,2,Entre Ríos,64,131,36,26,13,270
2022,2,Mendoza,38,78,136,27,2,281
2022,2,Salta,43,96,47,10,7,203
2022,2,Santa Fe,198,428,190,43,20,879
2022,2,Tucumán,86,15,149,4,487,741
2022,1,Buenos Aires,392,3,1,126,67,589
2022,1,CABA,102,1,62,6,30,201
2022,1,Córdoba,196,502,236,61,10,1005
2022,1,Entre Ríos,67,139,23,26,13,268
2022,1,Mendoza,49,74,123,27,1,274
2022,1,Salta,45,99,41,6,7,198
2022,1,Santa Fe,213,445,147,45,21,871
2022,1,Tucumán,93,62,86,4,487,732
2021,4,Buenos Aires,426,3,1,127,73,630
2021,4,CABA,111,1,60,6,30,208
2021,4,Córdoba,212,487,217,61,9,986
2021,4,Entre Ríos,70,133,23,25,13,264
2021,4,Mendoza,60,72,110,25,2,269
2021,4,Salta,47,100,40,6,7,200
2021,4,Santa Fe,233,444,129,44,16,866
2021,4,Tucumán,98,59,79,3,486,725
2021,3,Buenos Aires,586,3,886,120,65,1660
2021,3,CABA,143,1,43,6,29,222
2021,3,Córdoba,229,477,167,58,15,946
2021,3,Entre Ríos,74,129,20,24,13,260
2021,3,Mendoza,91,71,71,22,828,1083
2021,3,Salta,49,98,36,6,6,195
2021,3,Santa Fe,246,443,93,43,16,841
2021,3,Tucumán,104,54,71,2,743,974
2021,2,Buenos Aires,603,3,854,114,58,1632
2021,2,CABA,149,1,41,6,29,226
2021,2,Córdoba,240,468,152,56,16,932
2021,2,Entre Ríos,78,125,18,24,13,258
2021,2,Mendoza,92,71,45,22,827,1057
2021,2,Salta,51,96,32,6,6,191
2021,2,Santa Fe,257,432,90,44,18,841
2021,2,Tucumán,110,48,72,2,743,975
2021,1,Buenos Aires,630,2,822,99,58,1611
2021,1,CABA,160,1,40,6,29,236
2021,1,Córdoba,260,445,135,54,17,911
2021,1,Entre Ríos,84,118,17,21,12,252
2021,1,Mendoza,92,69,39,18,833,1051
2021,1,Salta,55,89,31,6,6,187
2021,1,Santa Fe,277,421,71,39,18,826
2021,1,Tucumán,147,12,70,2,740,971
2020,4,Buenos Aires,636,2,805,93,58,1594
2020,4,CABA,163,1,40,5,29,238
2020,4,Córdoba,267,439,126,53,18,903
2020,4,Entre Ríos,86,114,16,20,12,248
2020,4,Mendoza,92,68,36,18,833,1047
2020,4,Salta,57,88,31,6,6,188
2020,4,Santa Fe,287,415,63,39,17,821
2020,4,Tucumán,149,11,68,2,740,970
2020,3,Buenos Aires,654,2,749,94,56,1555
2020,3,CABA,170,1,39,4,29,243
2020,3,Córdoba,276,431,102,48,10,867
2020,3,Entre Ríos,88,107,14,20,12,241
2020,3,Mendoza,92,65,33,18,868,1076
2020,3,Salta,58,84,25,6,7,180
2020,3,Santa Fe,295,406,46,37,19,803
2020,3,Tucumán,150,12,60,2,762,986
2020,2,Buenos Aires,661,2,723,92,57,1535
2020,2,CABA,179,1,39,4,29,252
2020,2,Córdoba,283,415,86,45,8,837
2020,2,Entre Ríos,89,99,14,20,11,233
2020,2,Mendoza,92,63,30,16,802,1003
2020,2,Salta,60,82,24,5,7,178
2020,2,Santa Fe,300,382,47,30,19,778
2020,2,Tucumán,150,10,55,1,762,978
2020,1,Buenos Aires,673,2,721,85,18,1499
2020,1,CABA,184,1,39,4,29,257
2020,1,Córdoba,286,406,69,42,9,812
2020,1,Entre Ríos,90,95,13,19,14,231
2020,1,Mendoza,92,50,28,12,722,904
2020,1,Salta,60,76,23,4,7,170
2020,1,Santa Fe,302,384,35,30,19,770
2020,1,Tucumán,143,10,45,1,347,546
