Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra Óptica,4G,3G,Telefonía Fija,Wireless,Satelital
Buenos Aires,9 de Julio,Alfredo Demarchi (est. Facundo Quiroga),1,0,0,0,1,1,1,0,0
Buenos Aires,9 de Julio,Carlos María Naón,0,0,0,0,1,1,1,0,0
Buenos Aires,9 de Julio,Dudignac,0,0,1,0,1,1,1,1,0
Buenos Aires,9 de Julio,La Aurora (est. La Niña),0,0,0,0,1,0,0,0,0
Buenos Aires,9 de Julio,Manuel B. Gonnet (est. French),1,0,0,1,1,1,1,0,0
Buenos Aires,9 de Julio,Marcelino Ugarte (est. Dennehy),0,0,0,0,1,0,1,0,0
Buenos Aires,9 de Julio,Morea,0,0,0,0,0,0,1,1,0
Buenos Aires,9 de Julio,Norumbega,0,0,0,0,0,0,1,0,0
Buenos Aires,9 de Julio,Patricios,1,0,0,0,0,1,1,1,0
Buenos Aires,9 de Julio,Villa General Fournier (est. 9 de Julio Sud),0,0,0,1,1,1,1,1,0
Buenos Aires,Adolfo Alsina,Carhué,1,0,1,1,1,1,1,1,0
Buenos Aires,Adolfo Alsina,Colonia San Miguel Arcángel,0,0,0,1,1,0,1,0,0
Buenos Aires,Adolfo Alsina,Espartillar,0,0,0,0,1,0,0,0,0
Buenos Aires,Azul,Ariel,0,0,0,0,1,0,0,0,0
Buenos Aires,Azul,Azul,1,1,1,1,1,1,1,1,1
Buenos Aires,Azul,Cacharí,0,0,1,0,1,1,1,1,0
Buenos Aires,Azul,Chillar,0,0,0,0,1,1,1,1,1
Buenos Aires,Bahía Blanca,Bahía Blanca,1,1,1,1,1,1,1,1,1
Buenos Aires,Bahía Blanca,Cabildo,0,1,1,1,1,1,1,1,0
Buenos Aires,Bahía Blanca,General Daniel Cerri (est. General Cerri),1,1,1,1,1,1,1,1,0
Buenos Aires,Bahía Blanca,Grunbein,0,0,0,0,1,1,0,0,0
Buenos Aires,Bahía Blanca,Ingeniero White,0,0,0,1,1,1,0,0,1
Buenos Aires,General Pueyrredón,Chapadmalal,1,0,0,1,1,1,1,1,1
Buenos Aires,General Pueyrredón,El Marquesado,0,0,0,0,0,0,1,1,0
Buenos Aires,General Pueyrredón,Estacion Camet,0,0,0,0,1,1,0,0,0
Buenos Aires,General Pueyrredón,Estación Chapadmalal,1,0,0,1,1,1,0,1,0
Buenos Aires,General Pueyrredón,Mar del Plata,1,1,1,1,1,1,1,1,1
Buenos Aires,General Pueyrredón,Punta Mogotes,0,0,0,0,1,1,0,0,0
Buenos Aires,General Pueyrredón,Sierra de Los Padres,1,0,0,1,1,1,1,1,0
